Garden of Chaos 1|A 5-player Roll the Dice style tournament held on the 21st of May 2020, won by <span class="spoiler">fee bee</span>!|goc1|zlEVTEpSjqc|FSGardenofChaos1|both
Garden of Chaos 2|A 5-person Democracy style tournament held on the 28th of May 2020, won by <span class="spoiler">fee bee</span>!|goc2|6wjjNGn0BUU|FSGardenofChaos2|both
Garden of Chaos 3|A 7-player Mirror Mayhem style tournament held on the 4th of June 2020, won by <span class="spoiler">EmiSocks</span>!|goc3|xjYWbMFEFhU|FSGardenofChaos3|both
Garden of the 4saken|A 5-player Cursed style tournament held on the 11th of June 2020, won by <span class="spoiler">Remy</span>!|goc4|f9kotVUEsPU|FSGardenofChaos4|both
Garden of Chaos B|A 7-player Oops, All Vals! style tournament (a variant of Teams where all players played Valerie to celebrate pride month!) held on the 25th of June 2020, won by <span class="spoiler">Mitarashi Dango, EmiSocks, and Lil_morn</span>!|gocb|6fvWzxkILjc|FSGardenofChaos5|both
Garden of Chaos B Exhibition Match|A Ft10 exhibition match after Garden of Chaos B, between Organous's Rook and aeronico's Jaina, won by <span class="spoiler">Organous</span>!|goc5ex|gtFaeNma3GM|video
Garden of Chaos 6|A 6-player Many and the Few style tournament held on the 2nd of July 2020, won by <span class="spoiler">Thelo</span>! Ended with a Ft5 exhibition match between Frostilyte's Valerie and hypergrav's Grave. won by <span class="spoiler">Frostilyte</span>!|goc6|yvk-IAjarh0|FSGardenofChaos6|both
Garden of Chaos 7|A 6-player Roll the Dice style tournament held on the 16th of July 2020, won by <span class="spoiler">EmiSocks</span>! Hosted by Agoners.|goc7|CDHoIMLJ7Q0|FSGardenofChaos7|both
The Big Update Tournament|A 9-player Battle of Flagstone style tournament (a variant of Teams between the original cast and the new characters) held on the 23rd of July 2020, won by <span class="spoiler">Darkness, EmiSocks, Mozzarella, and ThyPirateKing</span>!|gocu|FSGardenofChaosUpdate|bracket
Garden of Chaos 8|A 7-player You Are What You Beat style tournament held on the 30th of July 2020, won by <span class="spoiler">ThyPirateKing</span>! Hosted by Agoners.|goc8|7gYvlAt4avc|FSGardenofChaos8|both
Garden of Chaos 9|A 6-player Partners style tournament held on the 6th of August 2020, won by <span class="spoiler">fireblur and SlattyDaddy</span>!|goc9|FSGardenofChaos9|bracket
Garden of Chaos 10|A 4-player Chaotic style tournament held on the 27th of August 2020, won by <span class="spoiler">ThyPirateKing</span>!|goc10|FSGardenofChaos10|bracket
Garden of Chaos 11|A 5-player BBBest Tournament style tournament held on the 3rd of September 2020, won by <span class="spoiler">Arnei</span>!|goc11|FSGardenofChaos11|bracket
Garden of Chaos 12|A skipped You Are What You Beat style tournament.|skipped
